Inc_start,Inc_finish,Number
25/05/2009,01/06/2009,0
02/06/2009,08/06/2009,0
09/06/2009,15/06/2009,0
16/06/2009,22/06/2009,4
23/06/2009,29/06/2009,10
30/06/2009,06/07/2009,21
07/07/2009,13/07/2009,26
14/07/2009,20/07/2009,25
21/07/2009,27/07/2009,11
28/07/2009,03/08/2009,8
04/08/2009,10/08/2009,4
11/08/2009,17/08/2009,5
18/08/2009,24/08/2009,1
25/08/2009,31/08/2009,1
